NAME,MedianHouseIncome
"Census Tract 83.24, San Diego County, California",166383
"Census Tract 83.27, San Diego County, California",150536
"Census Tract 83.28, San Diego County, California",187989
"Census Tract 83.29, San Diego County, California",101717
"Census Tract 83.30, San Diego County, California",142333
"Census Tract 83.31, San Diego County, California",153690
"Census Tract 83.33, San Diego County, California",161411
"Census Tract 83.35, San Diego County, California",139265
"Census Tract 83.36, San Diego County, California",138214
"Census Tract 83.37, San Diego County, California",150806
"Census Tract 83.39, San Diego County, California",77039
"Census Tract 83.40, San Diego County, California",99318
"Census Tract 83.41, San Diego County, California",61437
"Census Tract 83.43, San Diego County, California",61112
"Census Tract 83.44, San Diego County, California",107917
"Census Tract 83.45, San Diego County, California",81250
"Census Tract 83.46, San Diego County, California",149327
"Census Tract 83.47, San Diego County, California",112368
"Census Tract 83.48, San Diego County, California",111010
"Census Tract 83.49, San Diego County, California",104792
"Census Tract 83.50, San Diego County, California",103459
"Census Tract 83.51, San Diego County, California",82241
"Census Tract 83.52, San Diego County, California",92355
"Census Tract 83.53, San Diego County, California",99010
"Census Tract 83.54, San Diego County, California",110455
"Census Tract 83.55, San Diego County, California",98809
"Census Tract 83.56, San Diego County, California",98304
"Census Tract 83.57, San Diego County, California",89401
"Census Tract 83.58, San Diego County, California",94237
"Census Tract 83.59, San Diego County, California",58818
"Census Tract 83.60, San Diego County, California",81250
"Census Tract 83.61, San Diego County, California",65865
"Census Tract 83.62, San Diego County, California",82623
"Census Tract 83.63, San Diego County, California",62295
"Census Tract 83.64, San Diego County, California",72669
"Census Tract 83.65, San Diego County, California",158750
"Census Tract 83.66, San Diego County, California",163274
"Census Tract 85.01, San Diego County, California",94811
"Census Tract 85.02, San Diego County, California",77786
"Census Tract 85.03, San Diego County, California",73911
"Census Tract 85.04, San Diego County, California",77791
"Census Tract 85.05, San Diego County, California",63625
"Census Tract 85.06, San Diego County, California",77417
"Census Tract 85.07, San Diego County, California",81354
