ID,NAME,SNAP_People
144,"Census Tract 83.06, San Diego County, California",11
145,"Census Tract 83.07, San Diego County, California",8
146,"Census Tract 83.10, San Diego County, California",0
147,"Census Tract 83.11, San Diego County, California",10
148,"Census Tract 83.12, San Diego County, California",19
149,"Census Tract 83.13, San Diego County, California",2
150,"Census Tract 83.24, San Diego County, California",0
151,"Census Tract 83.27, San Diego County, California",17
152,"Census Tract 83.28, San Diego County, California",31
153,"Census Tract 83.29, San Diego County, California",98
154,"Census Tract 83.30, San Diego County, California",37
155,"Census Tract 83.31, San Diego County, California",10
156,"Census Tract 83.33, San Diego County, California",99
157,"Census Tract 83.35, San Diego County, California",236
158,"Census Tract 83.36, San Diego County, California",5
159,"Census Tract 83.37, San Diego County, California",10
160,"Census Tract 83.39, San Diego County, California",17
161,"Census Tract 83.40, San Diego County, California",39
162,"Census Tract 83.41, San Diego County, California",27
163,"Census Tract 83.43, San Diego County, California",25
164,"Census Tract 83.44, San Diego County, California",17
165,"Census Tract 83.45, San Diego County, California",73
166,"Census Tract 83.46, San Diego County, California",0
167,"Census Tract 83.47, San Diego County, California",78
168,"Census Tract 83.48, San Diego County, California",20
169,"Census Tract 83.49, San Diego County, California",30
170,"Census Tract 83.50, San Diego County, California",34
171,"Census Tract 83.51, San Diego County, California",57
172,"Census Tract 83.52, San Diego County, California",45
173,"Census Tract 83.53, San Diego County, California",84
174,"Census Tract 83.54, San Diego County, California",140
175,"Census Tract 83.55, San Diego County, California",13
176,"Census Tract 83.56, San Diego County, California",37
177,"Census Tract 83.57, San Diego County, California",96
178,"Census Tract 83.58, San Diego County, California",76
179,"Census Tract 83.59, San Diego County, California",81
180,"Census Tract 83.60, San Diego County, California",51
181,"Census Tract 83.61, San Diego County, California",32
182,"Census Tract 83.62, San Diego County, California",55
183,"Census Tract 83.63, San Diego County, California",0
184,"Census Tract 83.64, San Diego County, California",0
185,"Census Tract 83.65, San Diego County, California",13
186,"Census Tract 83.66, San Diego County, California",14
187,"Census Tract 85.01, San Diego County, California",159
188,"Census Tract 85.02, San Diego County, California",68
189,"Census Tract 85.03, San Diego County, California",115
190,"Census Tract 85.04, San Diego County, California",110
191,"Census Tract 85.05, San Diego County, California",51
192,"Census Tract 85.06, San Diego County, California",94
193,"Census Tract 85.07, San Diego County, California",157
194,"Census Tract 85.09, San Diego County, California",121
195,"Census Tract 85.10, San Diego County, California",227
196,"Census Tract 85.11, San Diego County, California",101
197,"Census Tract 85.12, San Diego County, California",17
198,"Census Tract 85.13, San Diego County, California",19
199,"Census Tract 86, San Diego County, California",283
200,"Census Tract 87.01, San Diego County, California",44
201,"Census Tract 87.02, San Diego County, California",144
202,"Census Tract 88, San Diego County, California",299
203,"Census Tract 89.01, San Diego County, California",11
204,"Census Tract 89.02, San Diego County, California",0
205,"Census Tract 90, San Diego County, California",120
206,"Census Tract 91.01, San Diego County, California",71
207,"Census Tract 91.02, San Diego County, California",140
208,"Census Tract 91.03, San Diego County, California",28
209,"Census Tract 91.04, San Diego County, California",6
210,"Census Tract 91.06, San Diego County, California",46
211,"Census Tract 91.07, San Diego County, California",70
212,"Census Tract 92.01, San Diego County, California",113
213,"Census Tract 92.02, San Diego County, California",23
214,"Census Tract 93.01, San Diego County, California",126
215,"Census Tract 93.04, San Diego County, California",123
216,"Census Tract 93.05, San Diego County, California",64
217,"Census Tract 93.06, San Diego County, California",61
218,"Census Tract 94, San Diego County, California",0
219,"Census Tract 95.02, San Diego County, California",52
220,"Census Tract 95.04, San Diego County, California",11
221,"Census Tract 95.05, San Diego County, California",12
222,"Census Tract 95.06, San Diego County, California",12
